Title,Author,Project,SR No
,https://github.com/ShivSt,https://github.com/Python-World/python-mini-projects/tree/master/projects/Merge_pdfs,57
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Send_email_from_csv,18
,https://github.com/VIPverma01,https://github.com/Python-World/python-mini-projects/tree/master/projects/Reduce_image_file_size,92
,https://github.com/brtymn,https://github.com/Python-World/python-mini-projects/tree/master/projects/Easy_cartoonify,80
,https://github.com/AnuragGupta806,https://github.com/Python-World/python-mini-projects/tree/master/projects/Convert_JPEG_to_PNG,86
,https://github.com/Varun-22,https://github.com/Python-World/python-mini-projects/tree/master/projects/convert_dictionary_to_python_object,38
,https://github.com/kana800/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Write_script_to_move_files_into_alphabetically_ordered_folder,39
,https://github.com/chavarera,https://github.com/Python-World/python-mini-projects/tree/master/projects/Split_folder_into_subfolders,10
,https://github.com/xlgd,https://github.com/Python-World/python-mini-projects/tree/master/projects/Create_a_simple_stopwatch,33
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Get_wifi_password,23
,https://github.com/weicheansoo,https://github.com/Python-World/python-mini-projects/tree/master/projects/convert_png_images_to_ico_format,98
,https://github.com/neohboonyee99,https://github.com/Python-World/python-mini-projects/tree/master/projects/Terminal_Based_Hangman_Game,100
,https://github.com/xlgd,https://github.com/Python-World/python-mini-projects/tree/master/projects/Calculate_age,14
,https://github.com/urmil89,https://github.com/Python-World/python-mini-projects/tree/master/projects/whatsapp_Bot,101
,https://github.com/Python-World/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Py_carbon_clips,16
,https://github.com/xlgd,https://github.com/Python-World/python-mini-projects/tree/master/projects/Encrypt_and_decrypt_text,26
,https://github.com/chavarera,https://github.com/Python-World/python-mini-projects/tree/master/projects/Hello,1
,https://github.com/chavarera,https://github.com/Python-World/python-mini-projects/tree/master/projects/Py_carbon_clips,75
,https://github.com/m044de/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Hashing_passwords,28
,https://github.com/erfansaberi,https://github.com/Python-World/python-mini-projects/tree/master/projects/Tic_tac_toe,78
,https://github.com/pi1814,https://github.com/Python-World/python-mini-projects/tree/master/projects/convert%20pdf%20to%20text,95
,https://github.com/Shiny-Akash,https://github.com/Python-World/python-mini-projects/tree/master/projects/Ascii_art,56
,https://github.com/pratik-choudhari,https://github.com/Python-World/python-mini-projects/tree/master/projects/News_website_scraper,70
,https://github.com/AkshataJ96,https://github.com/Python-World/python-mini-projects/tree/master/projects/Fetch%20HTTP%20status%20code,88
,https://github.com/brtymn,https://github.com/Python-World/python-mini-projects/tree/master/projects/EasyVideoPlayer,93
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Battery_notification,13
,https://github.com/anandhakrishnanaji,https://github.com/Python-World/python-mini-projects/tree/master/projects/Movie%20Information%20Scraper,87
,https://github.com/johnkirtley,https://github.com/Python-World/python-mini-projects/tree/master/projects/Convert_XML_to_JSON,35
,https://github.com/namanshah01,https://github.com/Python-World/python-mini-projects/tree/master/projects/Scraping%20Medium%20Articles,90
,https://github.com/ShivSt,https://github.com/Python-World/python-mini-projects/tree/master/projects/Check_website_connectivity,45
,https://github.com/kushal98,https://github.com/Python-World/python-mini-projects/tree/master/projects/Fetch_open_ports,58
,https://github.com/phileinSophos/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Split_File,25
,https://github.com/IngoKl,https://github.com/Python-World/python-mini-projects/tree/master/projects/cli_proxy_tester,34
,https://github.com/AdityaJ7,https://github.com/Python-World/python-mini-projects/tree/master/projects/Extract_zip_files,72
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/String_search_from_multiple_files,5
,https://github.com/AdityaJ7,https://github.com/Python-World/python-mini-projects/tree/master/projects/Dns_record,68
,https://github.com/tusharnankani,https://github.com/Python-World/python-mini-projects/tree/master/projects/Python_auto_draw,69
,https://github.com/chavarera,https://github.com/Python-World/python-mini-projects/tree/master/projects/WishList,9
,https://github.com/github-of-wone/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Currency_converter,32
,https://github.com/ShivSt,https://github.com/Python-World/python-mini-projects/tree/master/projects/Check_website_connectivity,61
,https://github.com/chavarera,https://github.com/Python-World/python-mini-projects/tree/master/projects/Random_word_from_list,12
,https://github.com/m044de/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Textfile_analysis,15
,https://github.com/Tomyzon1728,https://github.com/Python-World/python-mini-projects/tree/master/projects/Unstructured%20Supplemenrary%20%20Service%20Data,96
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Dominant_color,55
,https://github.com/alananayaa/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Decimal_to_binary_convertor_and_vice_versa,30
,https://github.com/ShivSt,https://github.com/Python-World/python-mini-projects/tree/master/projects/Qr_code_generator,76
,https://github.com/anandhakrishnanaji,https://github.com/Python-World/python-mini-projects/tree/master/projects/Scrape_quotes,81
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Organized_download_folder_with_different_categories,17
,https://github.com/Phillibob55,https://github.com/Python-World/python-mini-projects/tree/master/projects/Shutdown_or_restart_your_device,60
,https://github.com/ShivSt,https://github.com/Python-World/python-mini-projects/tree/master/projects/download%20GeeksForGeeks%20articles,94
,https://github.com/skate1512,https://github.com/Python-World/python-mini-projects/tree/master/projects/Random_Wikipedia_Article,44
,https://github.com/DarkCeptor44,https://github.com/Python-World/python-mini-projects/tree/master/projects/Convert_JSON_to_CSV,2
,https://github.com/m044de/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Snapshot_of_given_website,24
,https://github.com/adityaj7,https://github.com/Python-World/python-mini-projects/tree/master/projects/Digital_clock,62
,https://github.com/xlgd,https://github.com/Python-World/python-mini-projects/tree/master/projects/Convert_a_image_to_pdf,63
,https://github.com/utkarshbajaj,https://github.com/Python-World/python-mini-projects/tree/master/projects/Find_imdb_rating,99
,https://github.com/Serhazor,https://github.com/Python-World/python-mini-projects/tree/master/projects/Text_to_speech,42
,https://github.com/xlgd,https://github.com/Python-World/python-mini-projects/tree/master/projects/Write_script_to_compress_folder_and_files,36
,https://github.com/anandhakrishnanaji,https://github.com/Python-World/python-mini-projects/tree/master/projects/Duplicate%20files%20remover,97
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Random_password_generator,3
,https://github.com/Phillibob55,https://github.com/Python-World/python-mini-projects/tree/master/projects/Website_blocker,67
,https://github.com/skate1512,https://github.com/Python-World/python-mini-projects/tree/master/projects/Unique_words_in_a_file,52
,https://github.com/xlgd,https://github.com/Python-World/python-mini-projects/tree/master/projects/Create_a_script_to_encrypt_files_and_folder,29
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Terminal_progress_bar_with_images_resizing,20
,https://github.com/Python-World/python-mini-projects/tree/master/projects/Speech%20to%20text,https://github.com/Python-World/python-mini-projects/tree/master/projects/Speech_to_text,53
,https://github.com/ShivSt,https://github.com/Python-World/python-mini-projects/tree/master/projects/Store_emails_in_csv,64
,https://github.com/Jakeogle94,https://github.com/Python-World/python-mini-projects/tree/master/projects/Internet_connection_check,65
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Image_watermark,8
,https://github.com/namanshah01,https://github.com/Python-World/python-mini-projects/tree/master/projects/Wikipedia_search_wordcloud,84
,https://github.com/d33pc/,https://github.com/Python-World/python-mini-projects/tree/master/projects/capture_screenshot,27
,https://github.com/kushal98,https://github.com/Python-World/python-mini-projects/tree/master/projects/Fetch_current_weather,46
,https://github.com/tusharnankani,https://github.com/Python-World/python-mini-projects/tree/master/projects/RockPaperScissors_Game,71
,https://github.com/Hariom1509,https://github.com/Python-World/python-mini-projects/tree/master/projects/Leap_Year_Checker,89
,https://github.com/ramonfsk,https://github.com/Python-World/python-mini-projects/tree/master/projects/convert_Imgs,43
,https://github.com/AdityaJ7,https://github.com/Python-World/python-mini-projects/tree/master/projects/XKCD_downloader,66
,https://github.com/chavarera,https://github.com/Python-World/python-mini-projects/tree/master/projects/Instagram_profile,4
,https://github.com/Tomyzon1728,https://github.com/Python-World/python-mini-projects/tree/master/Notebooks/Customer_loan_repayment_problem,83
,https://github.com/kana800/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Write_a_script_to_download_a_random_image_from_unsplash_and_set_it_as_wallpaper,54
,https://github.com/kana800/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Split_a_video_file_by_given_time_period,51
,https://github.com/AdityaJ7,https://github.com/Python-World/python-mini-projects/tree/master/projects/Geocoding,74
,https://github.com/AdityaJ7,https://github.com/Python-World/python-mini-projects/tree/master/projects/Time_to_load_website,82
,https://github.com/leader2one,https://github.com/Python-World/python-mini-projects/tree/master/projects/Number_guessing_game,85
,https://github.com/Mitesh2499 & https://github.com/mikeysan,https://github.com/Python-World/python-mini-projects/tree/master/projects/All_links_from_given_webpage,6
,https://github.com/tusharnankani,https://github.com/Python-World/python-mini-projects/blob/master/projects/Random_password_generator,73
,https://github.com/audrey-yang,https://github.com/Python-World/python-mini-projects/tree/master/projects/Cli_todo,31
,https://github.com/kushal98,https://github.com/Python-World/python-mini-projects/tree/master/projects/Fetch_and_store_tweets,49
,https://github.com/ShivSt,https://github.com/Python-World/python-mini-projects/tree/master/projects/Find_imdb_rating,37
,https://github.com/tusharnankani,https://github.com/Python-World/python-mini-projects/tree/master/projects/Tic_tac_toe_with_ai,79
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Download_images_from_website,11
,https://github.com/CrestNiraj12,https://github.com/Python-World/python-mini-projects/tree/master/projects/Convert_numbers_to_word,59
,https://github.com/ashikurt77,https://github.com/Python-World/python-mini-projects/tree/master/projects/Language_translator,50
,https://github.com/Mitesh2499,https://github.com/Python-World/python-mini-projects/tree/master/projects/Todo_app,7
,https://github.com/Saicharan67,https://github.com/Python-World/python-mini-projects/tree/master/projects/Web_scraping_a_youtube_comment,40
,https://github.com/xlgd,https://github.com/Python-World/python-mini-projects/tree/master/projects/Create_calculator_app,47
,https://github.com/xlgd,https://github.com/Python-World/python-mini-projects/tree/master/projects/Get_meta_information_of_images,21
,https://github.com/NuhMohammed,https://github.com/Python-World/python-mini-projects/tree/master/projects/Find_out_hostname_and_ip_address,19
,https://github.com/leader2one,https://github.com/Python-World/python-mini-projects/tree/master/projects/Scrape_Hacker_News,91
,https://github.com/kushal98,https://github.com/Python-World/python-mini-projects/tree/master/projects/Merge_csv_files,48
,https://github.com/phileinSophos/,https://github.com/Python-World/python-mini-projects/tree/master/projects/Capture_Video_Frames,22
,https://github.com/believeohiozua,https://github.com/Python-World/python-mini-projects/tree/master/projects/Web_page_summation,41
,https://github.com/erfansaberi,https://github.com/Python-World/python-mini-projects/tree/master/projects/Recursive_password_generator,77
